Cluster name,In-situ(1)/Accreted(0),Comments
2MASS-GC01,1,
2MASS-GC02,1,
AM,1,0
AM 4,0,
Arp 2,0,
BH 140,1,
BH 261,1,
Crater,0,
Djorg,1,1
Djorg 2,1,
E 3,1,
ESO 280-SC06,0,
ESO 452-SC11,1,
Eridanus,0,
FSR 1716,1,
FSR 1735,1,
FSR 1758,0,
Gran,1,1
Gran 2,1,
Gran 3,1,
Gran 5,1,
HP,1,1
IC 1257,0,
IC 1276,1,
IC 4499,0,
Laevens 3,0,
Liller,1,1
Lynga 7,1,
NGC 104,1,
NGC 1261,0,
NGC 1851,0,
NGC 1904,0,
NGC 2298,0,
NGC 2419,0,
NGC 2808,0,
NGC 288,0,"[Al/Fe] and [Mg/Fe] consistent with in-situ, see Figure 11"
NGC 3201,0,
NGC 362,0,
NGC 4147,0,
NGC 4372,1,
NGC 4590,0,
NGC 4833,1,
NGC 5024,0,
NGC 5053,0,
NGC 5139,1,likely NSC/accreted
NGC 5272,0,
NGC 5286,0,"[Al/Fe] and [Mg/Fe] consistent with in-situ, see Figure 11"
NGC 5466,0,
NGC 5634,0,
NGC 5694,0,
NGC 5824,0,
NGC 5897,1,
NGC 5904,0,
NGC 5927,1,"[Al/Fe] and [Mg/Fe] consistent with being accreted, see Figure 11"
NGC 5946,1,
NGC 5986,1,
NGC 6093,1,
NGC 6101,0,
NGC 6121,1,
NGC 6139,1,
NGC 6144,1,
NGC 6171,1,
NGC 6205,1,
NGC 6218,1,
NGC 6229,0,
NGC 6235,1,
NGC 6254,1,
NGC 6256,1,
NGC 6266,1,
NGC 6273,1,likely NSC/accreted
NGC 6284,1,
NGC 6287,1,
NGC 6293,1,
NGC 6304,1,
NGC 6316,1,
NGC 6325,1,
NGC 6333,1,
NGC 6341,0,
NGC 6342,1,
NGC 6352,1,
NGC 6355,1,"[Al/Fe] and [Mg/Fe] consistent with being accreted, see Figure 11"
NGC 6356,1,
NGC 6362,1,
NGC 6366,1,
NGC 6380,1,
NGC 6388,1,"[Al/Fe] and [Mg/Fe] consistent with being accreted, see Figure 11"
NGC 6397,1,
NGC 6401,1,
NGC 6402,1,
NGC 6426,0,
NGC 6440,1,
NGC 6441,1,
NGC 6453,1,
NGC 6496,1,
NGC 6517,1,
NGC 6522,1,
NGC 6528,1,"[Al/Fe] and [Mg/Fe] consistent with being accreted, see Figure 11"
NGC 6535,1,
NGC 6539,1,
NGC 6540,1,
NGC 6541,1,
NGC 6544,1,
NGC 6553,1,
NGC 6558,1,
NGC 6569,1,
NGC 6584,0,"[Al/Fe] and [Mg/Fe] consistent with in-situ, see Figure 11"
NGC 6624,1,
NGC 6626,1,
NGC 6637,1,
NGC 6638,1,
NGC 6642,1,
NGC 6652,1,
NGC 6656,1,
NGC 6681,1,
NGC 6712,1,
NGC 6715,0,
NGC 6717,1,
NGC 6723,1,
NGC 6749,1,
NGC 6752,1,
NGC 6760,1,
NGC 6779,0,
NGC 6809,1,
NGC 6838,1,
NGC 6864,0,
NGC 6934,0,
NGC 6981,0,
NGC 7006,0,
NGC 7078,1,Shows enhanced [Eu/Fe] and may be accreted (see Monty et al in prep)
NGC 7089,0,
NGC 7099,1,
NGC 7492,0,
Pal,1,1
Pal 10,1,
Pal 11,1,
Pal 12,0,
Pal 13,0,
Pal 14,0,
Pal 15,0,
Pal 2,0,
Pal 3,0,
Pal 4,0,
Pal 5,0,
Pal 6,1,
Pal 8,1,
Patchick 126,1,
Pyxis,0,
Rup 106,0,
Sagittarius II,0,
Terzan,1,1
Terzan 10,1,
Terzan 12,1,
Terzan 2,1,
Terzan 3,1,
Terzan 4,1,
Terzan 5,1,
Terzan 6,1,
Terzan 7,0,
Terzan 8,0,
Terzan 9,1,
Ton 2,1,
UKS,1,1
VVV-CL001,1,
VVV-CL160,0,
Whiting,1,0
