GC,Progenitor
NGC 104,M-D
NGC 288,G-E
NGC 362,G-E
Whiting 1,Sag
NGC 1261,G-E
Pal 1,M-D
AM 1,H-E
Eridanus,H-E
Pal 2,G-E?
NGC 1851,G-E
NGC 1904,G-E
NGC 2298,G-E
NGC 2419,Sag
Ko 2,XXX
Pyxis,H-E
NGC 2808,G-E
E 3,H99?
Pal 3,H-E
NGC 3201,Seq/G-E
Pal 4,H-E
Ko 1,XXX
NGC 4147,G-E
NGC 4372,M-D
Rup 106,H99?
NGC 4590,H99
NGC 4833,G-E
NGC 5024,H99
NGC 5053,H99
NGC 5139,G-E/Seq
NGC 5272,H99
NGC 5286,G-E
AM 4,XXX
NGC 5466,Seq
NGC 5634,H99/G-E
NGC 5694,H-E
IC 4499,Seq
NGC 5824,Sag
Pal 5,H99?
NGC 5897,G-E
NGC 5904,H99/G-E
NGC 5927,M-D
BH 176,M-D
NGC 5946,L-E
NGC 5986,L-E
Lynga 7,M-D
Pal 14,H-E
NGC 6093,L-E
NGC 6101,Seq/G-E
NGC 6144,L-E
NGC 6139,L-E
Terzan 3,M-D
NGC 6171,M-B
1636-283,M-B
NGC 6205,G-E
NGC 6229,G-E
NGC 6218,M-D
FSR 1735,L-E
NGC 6254,L-E
NGC 6256,L-E
Pal 15,G-E?
NGC 6266,M-B
NGC 6273,L-E
NGC 6284,G-E
NGC 6287,L-E
NGC 6293,M-B
NGC 6304,M-B
NGC 6316,M-B
NGC 6325,M-B
NGC 6333,L-E
NGC 6342,M-B
NGC 6341,G-E
NGC 6356,M-D
NGC 6355,M-B
NGC 6352,M-D
IC 1257,G-E
Terzan 2,M-B
NGC 6366,M-D
Terzan 4,M-B
NGC 6362,M-D
Liller 1,XXX
Ton 2,L-E
NGC 6380,M-B
NGC 6388,M-B
NGC 6402,L-E
NGC 6401,L-E
Pal 6,L-E
NGC 6426,H-E
Djorg 1,G-E
Terzan 5,M-B
NGC 6440,M-B
NGC 6441,L-E
NGC 6453,L-E
NGC 6496,M-D
NGC 6517,L-E
Terzan 6,M-B
Terzan 9,M-B
Terzan 10,G-E
NGC 6522,M-B
NGC 6528,M-B
NGC 6539,M-B
NGC 6540,M-B
NGC 6541,L-E
NGC 6544,L-E
NGC 6535,L-E/Seq
NGC 6553,M-B
NGC 6558,M-B
NGC 6569,M-B
BH 261,M-B
NGC 6584,H-E
NGC 6624,M-B
NGC 6626,M-B
NGC 6638,M-B
NGC 6637,M-B
NGC 6642,M-B
NGC 6652,M-B
NGC 6656,M-D
Pal 8,M-D
GLIMPSE 1,XXX
NGC 6712,L-E
NGC 6715,Sag
NGC 6717,M-B
NGC 6723,M-B
NGC 6749,M-D
NGC 6752,M-D
NGC 6760,M-D
Terzan 7,Sag
Pal 10,M-D
Arp 2,Sag
NGC 6809,L-E
Terzan 8,Sag
Pal 11,M-D
NGC 6838,M-D
NGC 6864,G-E
NGC 6934,H-E
NGC 6981,H99
NGC 7006,Seq
NGC 7078,M-D
NGC 7089,G-E
NGC 7099,G-E
Pal 12,Sag
Pal 13,Seq
NGC 7492,G-E
Crater,H-E
FSR 1716,M-D
FSR 1758,Seq
HP 1,M-B
Liller 1,XXX
GLIMPSE 2,XXX
Ko 2,XXX
2MS-GC01,XXX
2MS-GC02,XXX
